id,Year,Car_Driver,Car_Passenger,Car_Unknown,MotorCycle,PedalCycle,Pedestrian,Heavy_Driver,Heavy_Passenger,Heavy_Uknown,Other
1,2011,5 880,2 045, 502,6 828,4 266,1 581, 444, 34, 50,691
2,2012,5 789,2 044, 489,6 954,4 439,1 559, 403, 36, 43,675
3,2013,5 763,1 981, 417,7 190,4 945,1 553, 407, 30, 28,643
4,2014,5 806,1 835, 371,7 496,5 218,1 430, 367, 33, 40,625
5,2015,6 256,1 985, 404,7 417,5 291,1 450, 437, 35, 22,623
6,2016,6 804,2 087, 415,7 622,5 385,1 521, 394, 29, 36,718
7,2017,6 857,1 917, 391,7 868,5 567,1 486, 435, 28, 31,676
8,2018,6 966,2 057, 447,7 729,5 434,1 467, 423, 53, 42,697
9,2019,6 658,1 871, 404,7 944,5 785,1 524, 406, 40, 40,693
10,2020,6 588,1 757, 363,7 752,6 385,1 189, 402, 33, 34,675
11,2021,6 725,1 797, 381,7 891,6 425,1 389, 372, 38, 34,736
