id,Year,Road_Male,Road_Female,Rail_Male,Rail_Female,Water_Male,Water_Female,Air & Space_Male,Air & Space_Female,Other_Male,Other_Female,Total_Male,Total_Female
1,2000,84.9,15.1,83.4,16.6,69.3,30.7,68.4,31.6,77.4,22.6,81.1,18.9
2,2001,83.7,16.3,87.8,12.2,77.1,22.9,67.3,32.7,84.8,15.2,81.2,18.8
3,2002,85.6,14.4,86.3,13.7,71,29,61.1,38.9,81.1,18.9,81.4,18.6
4,2003,83.2,16.8,81.8,18.2,76.3,23.7,63.9,36.1,82,18,79.9,20.1
5,2004,85.1,14.9,80.5,19.5,72.6,27.4,59,41,77.8,22.2,80.5,19.5
6,2005,85.9,14.1,89.7,10.3,64.7,35.3,62.2,37.8,80.9,19.1,81.8,18.2
7,2006,84.5,15.5,84.2,15.8,72.3,27.7,58.6,41.4,64.6,35.4,79.9,20.1
8,2007,85.9,14.1,83.5,16.5,83.9,16.1,64.9,35.1,74.4,25.6,82.2,17.8
9,2008,85.1,14.9,87.3,12.7,77,23,60.1,39.9,79.2,20.8,81.5,18.5
10,2009,85.5,14.5,86.2,13.8,93.6,6.4,50.2,49.8,69.2,30.8,80.2,19.8
11,2010,85.6,14.4,76.3,23.7,69.7,30.3,63.1,36.9,71.9,28.1,80,20
12,2011,85.6,14.4,89.7,10.3,72.3,27.7,58.9,41.1,73.6,26.4,81.2,18.8
13,2012,85,15,84.2,15.8,74.1,25.9,61.5,38.5,58.5,41.5,80.5,19.5
14,2013,87,13,82.4,17.6,58.7,41.3,67.4,32.6,64.8,35.2,81.9,18.1
15,2014,84.8,15.2,86.4,13.6,79.8,20.2,60,40,75.8,24.2,80.8,19.2
16,2015,84.9,15.1,90.6,9.4,65.8,34.2,59.4,40.6,62.3,37.7,80.6,19.4
17,2016,84.4,15.6,76,24,63.5,36.5,60.4,39.6,65.3,34.7,79.3,20.7
18,2017,85.9,14.1,80.4,19.6,91.3,8.7,60.2,39.8,77.5,22.5,81.2,18.8
19,2018,84.5,15.5,82.7,17.3,78.2,21.8,68.8,31.2,72.2,27.8,81.9,18.1
20,2019,83.9,16.1,78.3,21.7,73.2,26.8,62.2,37.8,51.1,48.9,79.4,20.6
21,2020,82.6,17.4,72.1,27.9,53.2,46.8,64,36,56.3,43.7,78.1,21.9
22,2021,86.5,13.5,83.7,16.3,71.9,28.1,75.2,24.8,46.1,53.9,83.6,16.4
23,2022,85.9,14.1,72.8,27.2,54,46,54.4,45.6,47.6,52.4,78.8,21.2
24,2023,84.1,15.9,68.4,31.6,74.1,25.9,66.9,33.1,54.6,45.4,79.2,20.8
25,2024,82.6,17.4,75.7,24.3,69,31,70,30,52.6,47.4,79.3,20.7
